year,latitude,longitude,wspd,wdir,number,wspd_kmh
2019,37.0,-9.0,4.5320125,283.55823,0,16.315245
2019,37.0,-8.75,3.746809,277.63483,0,13.488512
2019,37.0,-8.5,3.319666,273.3184,0,11.950797
2019,37.0,-8.25,3.1032312,271.93796,0,11.171632
2019,37.0,-8.0,2.9039667,270.04175,0,10.45428
2019,37.0,-7.75,2.5684073,263.62485,0,9.246266
2019,37.0,-7.5,2.460343,258.0204,0,8.857234
2019,37.0,-7.25,2.4669702,252.7011,0,8.881092
2019,37.0,-7.0,2.5371988,247.0785,0,9.133915
2019,37.0,-6.75,2.4441652,242.51134,0,8.798995
2019,37.0,-6.5,1.9768084,238.8232,0,7.1165104
2019,37.0,-6.25,1.6021767,233.86778,0,5.7678356
2019,37.0,-6.0,1.2145363,226.7539,0,4.3723307
2019,37.0,-5.75,1.1006953,221.34554,0,3.9625027
2019,37.0,-5.5,1.1385361,212.7772,0,4.0987296
2019,37.0,-5.25,1.1861494,210.51851,0,4.270138
2019,37.0,-5.0,1.2509694,218.78291,0,4.50349
2019,37.0,-4.75,0.8881214,226.65587,0,3.197237
2019,37.0,-4.5,0.7407171,238.70213,0,2.6665816
2019,37.0,-4.25,0.7026377,246.53026,0,2.5294955
2019,37.0,-4.0,0.7391456,254.34088,0,2.660924
2019,37.0,-3.75,0.74721414,227.98116,0,2.6899707
2019,37.0,-3.5,0.7372405,254.70854,0,2.6540656
2019,37.0,-3.25,0.715097,239.91176,0,2.5743492
2019,37.0,-3.0,0.6637624,251.21733,0,2.3895445
2019,37.0,-2.75,0.64863735,175.74097,0,2.3350945
2019,37.0,-2.5,0.74761385,162.01839,0,2.6914098
2019,37.0,-2.25,0.88892657,180.1419,0,3.2001355
2019,37.0,-2.0,1.1852759,140.00725,0,4.266993
2019,37.0,-1.75,1.7278343,138.58626,0,6.2202034
2019,37.0,-1.5,2.0490541,137.27441,0,7.3765945
2019,37.0,-1.25,2.191037,136.1859,0,7.887733
2019,37.0,-1.0,2.2843165,135.62459,0,8.223539
2019,37.0,-0.75,2.3836553,137.12787,0,8.581159
2019,37.0,-0.5,2.46264,138.13187,0,8.865504
2019,37.0,-0.25,2.5195122,139.2376,0,9.070244
2019,37.0,0.0,2.5769613,141.18703,0,9.2770605
2019,37.0,0.25,2.5867903,143.2057,0,9.312445
2019,37.0,0.5,2.6288917,144.28317,0,9.46401
2019,37.0,0.75,2.6857243,144.6027,0,9.668607
2019,37.0,1.0,2.7501085,144.60301,0,9.900391
2019,37.0,1.25,2.7781801,141.48283,0,10.001449
2019,37.0,1.5,2.788786,169.38835,0,10.039629
2019,37.0,1.75,2.811278,168.71478,0,10.120601
2019,37.0,2.0,2.8573923,169.29486,0,10.2866125
2019,37.0,2.25,2.899268,168.10368,0,10.437365
2019,37.0,2.5,2.9372063,167.20139,0,10.573942
2019,37.0,2.75,2.9363587,165.81236,0,10.570891
2019,37.0,3.0,2.877573,166.612,0,10.359262
2019,37.0,3.25,2.835739,167.66412,0,10.20866
2019,37.0,3.5,2.7741988,168.08846,0,9.987115
2019,37.0,3.75,2.733842,168.28722,0,9.84183
2019,37.0,4.0,2.5920615,170.0377,0,9.331421
